line_prefix,line_zone_name
10,Amadora
11,Oeiras
12,Sintra
15,A1 intermunicipal
16,A1 intermunicipal
17,A1 ligação a Lisboa
20,Loures
21,Mafra
22,Odivelas
23,V. F. Xira
25,A2 intermunicipal
26,A2 intermunicipal
27,A2 ligação a Lisboa
28,A2 ligação a Lisboa
29,A2 interregional
30,Almada
31,Seixal
32,Sesimbra
35,A3 intermunicipal
36,A3 intermunicipal
37,A3 ligação a Lisboa
40,Alcochete
41,Moita
42,Montijo
43,Palmela
44,Setúbal
45,A4 intermunicipal
46,A4 intermunicipal
47,A4 ligação a Lisboa
49,A4 interregional
